text,sentiment
Mis sueños se están cumpliendo,positive
No soporto estar aquí,negative
La comida estuvo desagradable,negative
Estoy en el peor lugar del mundo,negative
Es hora de dormir,neutral
Cada día es peor,negative
La película fue aburrida,negative
Tengo muy mala suerte,negative
Esto es justo lo que quería,positive
El evento es el sábado,neutral
Estoy cansado de tu actitud,negative
Qué mala noticia,negative
Esto es fantástico,positive
Estoy decepcionado de ti,negative
Me siento inspirado,positive
Disfruté mucho la película,positive
"Fracasé, estoy frustrado",negative
Tengo mucha suerte,positive
Me siento fatal,negative
Estoy agradecido por todo,positive
Estoy escribiendo un correo,neutral
Mañana es feriado,neutral
Me siento desmotivado,negative
Hoy es miércoles,neutral
Estoy en el mejor lugar del mundo,positive
No tengo planes hoy,neutral
Mis sueños están rotos,negative
La música me alegra el día,positive
La reunión fue breve,neutral
Estoy lleno de energía,positive
La comida estuvo deliciosa,positive
El cielo está despejado,neutral
Odio este lugar,negative
Hoy es un día maravilloso,positive
La vida es hermosa,positive
La película dura dos horas,neutral
Estoy agotado,negative
Estoy en mi peor momento,negative
Me siento genial,positive
Estoy revisando mis correos,neutral
Estoy viendo televisión,neutral
Estoy en casa ahora,neutral
Qué alegría verte de nuevo,positive
Hoy es un día terrible,negative
El tren llegó puntual,neutral
La tienda cierra a las nueve,neutral
Nada puede mejorar mi día,negative
Eres una persona insoportable,negative
Estoy en mi mejor momento,positive
Estoy muy triste hoy,negative
Gracias por tu apoyo,positive
Qué tristeza verte así,negative
Hace frío afuera,neutral
Mi teléfono está cargando,neutral
Tengo todo lo que necesito,positive
Estoy en la oficina,neutral
Me encanta pasar tiempo contigo,positive
Es un día perfecto para sonreír,positive
La vida es injusta,negative
Cada día es una nueva oportunidad,positive
Me llegó un mensaje,neutral
¡Qué buena noticia!,positive
La temperatura es de 20 grados,neutral
Estoy descontento con los resultados,negative
Nada tiene sentido,negative
Necesito comprar pan,neutral
Me siento angustiado,negative
Es un día horrible para mí,negative
Estoy encantado con los resultados,positive
La reunión empieza a las tres,neutral
Estoy muy feliz hoy,positive
La música me irrita hoy,negative
El mercado está lleno hoy,neutral
Esto no es lo que esperaba,negative
Estoy esperando el autobús,neutral
Eres una persona increíble,positive
Todo es posible si lo intentas,positive
Estoy orgulloso de ti,positive
Tengo clases por la tarde,neutral
Tengo una cita mañana,neutral
Estoy usando una camiseta azul,neutral
Mi coche está en el taller,neutral
Me siento muy afortunado,positive
Esto es horrible,negative
Me encanta este lugar,positive
La farmacia está cerca,neutral
Todo salió perfecto,positive
Estoy sentado en la sala,neutral
La puerta está abierta,neutral
Estoy harto de todo,negative
Me siento muy desafortunado,negative
El banco está cerrado,neutral
Todo salió mal,negative
Estoy leyendo un libro,neutral
El café está caliente,neutral
"Lo logré, estoy emocionado",positive
Nada puede arruinar mi día,positive
Comí arroz para el almuerzo,neutral
Siento mucha paz interior,positive
No tengo nada de lo que necesito,negative
